City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
264,bhimunipatnam,17.8833,83.4333,78.31,52,92,4.25,IN,1738728181
265,arkhangel'sk,64.5401,40.5433,8.71,78,100,4.47,RU,1738728181
266,geraldton,-28.7667,114.6,95.41,31,8,10.36,AU,1738728181
267,chulakkurgan,43.765,69.1814,22.28,81,100,2.26,KZ,1738728181
268,vorgashor,67.5833,63.95,-2.65,96,96,7.36,RU,1738728181
269,quiberon,47.4841,-3.1196,46.2,84,83,10.83,FR,1738728181
270,dongola,19.1667,30.4833,64.27,18,0,12.91,SD,1738728182
271,yaren,-0.5472,166.916,80.92,82,82,17.78,NR,1738728182
272,urangan,-25.3,152.9,78.33,74,100,12.62,AU,1738728182
273,uturoa,-16.7333,-151.4333,82.9,70,22,8.34,PF,1738728182
274,newnham,-41.3833,147.1333,74.35,35,20,5.75,AU,1738728182
275,hadibu,12.65,54.0333,71.65,68,33,12.48,YE,1738728182
276,ornskoldsvik,63.2909,18.7153,34.75,100,100,17.27,SE,1738728182
277,port maria,18.3685,-76.8895,76.86,83,93,15.66,JM,1738728182
278,saryozek,44.3583,77.9753,12.16,71,100,2.95,KZ,1738728182
279,brandon,27.9378,-82.2859,65.1,91,0,3.44,US,1738728182
280,norilsk,69.3535,88.2027,-15.92,91,83,4.76,RU,1738728182
281,tayshet,55.9342,98.0044,5.07,91,100,12.35,RU,1738728183
282,coquimbo,-29.9533,-71.3436,62.33,88,0,4.61,CL,1738728070
283,ulladulla,-35.35,150.4667,74.16,73,88,13.44,AU,1738728183
284,saint-felix-de-valois,46.1668,-73.4324,0.5,81,6,7.96,CA,1738728183
285,adamovka,51.5223,59.9396,16.39,83,100,14.65,RU,1738728183
286,sabratah,32.7933,12.4885,53.55,79,70,7.11,LY,1738728183
287,alamogordo,32.8995,-105.9603,62.44,19,20,6.91,US,1738728183
288,syumsi,57.1111,51.6149,18.93,94,100,6.17,RU,1738728183
289,puerto leguizamo,-0.1934,-74.7819,79.38,61,70,1.72,CO,1738728183
290,sandnessjoen,66.0217,12.6316,31.59,92,100,20.15,NO,1738728183
291,ocean city,39.2776,-74.5746,32.11,68,2,9.98,US,1738728183
292,qujing,25.4833,103.7833,48.16,73,100,8.14,CN,1738728184
293,deoli,25.75,75.3833,62.89,34,0,6.53,IN,1738728184
294,prince george,53.9166,-122.753,-6.36,84,0,5.75,CA,1738727921
295,walvis bay,-22.9575,14.5053,66.67,82,99,3.06,NA,1738728184
296,lodja,-3.4833,23.4333,72.16,88,100,2.28,CD,1738728184
297,as sulayyil,20.4607,45.5779,52.92,22,36,6.8,SA,1738728184
298,kaa-khem,51.6833,94.7333,-2.97,97,100,2.06,RU,1738728184
299,djenne,13.9061,-4.5533,70.34,16,100,9.17,ML,1738728184
300,thanh hoa,19.8,105.7667,64.65,60,100,2.59,VN,1738728026
301,muroto-misakicho,33.2833,134.15,41.31,54,84,23.85,JP,1738728184
302,belo jardim,-8.3356,-36.4242,68.97,90,100,6.06,BR,1738728009
303,launceston,-41.45,147.1667,74.84,35,20,5.75,AU,1738728184
304,kill devil hills,36.0307,-75.676,46.98,86,0,6.91,US,1738728184
305,cabo san lucas,22.8909,-109.9124,68.31,59,0,4.61,MX,1738728001
306,tarasovskiy,48.7292,40.3636,19.42,93,54,7.43,RU,1738728185
307,hermanus,-34.4187,19.2345,62.8,89,49,12.3,ZA,1738728185
308,cockburn town,21.4612,-71.1419,76.53,74,11,17.63,TC,1738727919
309,susuman,62.7833,148.1667,-33.11,91,55,2.01,RU,1738728185
310,mar del plata,-38.0023,-57.5575,68.85,57,0,12.66,AR,1738728079
311,nambucca heads,-30.65,153.0,79.05,71,88,13.24,AU,1738728185
312,afaahiti,-17.75,-149.2833,79.54,77,33,8.77,PF,1738728185
313,qarshi,38.8667,65.8,31.82,80,72,6.91,UZ,1738727945
314,selfoss,63.9331,-20.9971,31.05,80,100,30.58,IS,1738728185
315,pimentel,-6.8367,-79.9342,73.69,78,20,17.27,PE,1738728185
316,spas-klepiki,55.1347,40.1767,29.08,88,100,12.68,RU,1738728185
317,zima,53.9202,102.0442,5.61,87,100,17.92,RU,1738728186
318,mosfellsbaer,64.1667,-21.7,31.75,62,100,34.52,IS,1738728186
319,san antonio de pale,-1.4014,5.6325,81.43,79,100,9.62,GQ,1738728069
320,susaki,33.3667,133.2833,39.36,54,88,13.89,JP,1738728186
321,athens,37.9795,23.7162,46.18,67,40,8.99,GR,1738728027
322,borinskoye,52.4569,39.3713,29.17,86,100,16.75,RU,1738728186
323,palanga,55.9175,21.0686,35.62,87,75,3.44,LT,1738728186
